"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Score","FeatureType","RecordId"
"66Z8a0000009DiTEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-03 01:13:46","0058a00000LLuwkAAD","2023-08-03 01:13:46","2","OpportunityScore","0068a00001M8WIFAA3"
"66Z8a0000009DiUEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-31 20:51:05","0058a00000LLuwkAAD","2023-03-31 20:51:05","26","OpportunityScore","0068a00001MEep1AAD"
"66Z8a0000009DiVEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-10 22:34:17","0058a00000LLuwkAAD","2023-03-10 22:34:17","87","OpportunityScore","0068a00001M7UWsAAN"
"66Z8a0000009DiWEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-27 18:39:54","0058a00000LLuwkAAD","2023-03-27 18:39:54","8","OpportunityScore","0068a00001MEW0kAAH"
"66Z8a0000009DiYEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-08 06:58:36","0058a00000LLuwkAAD","2023-03-08 06:58:36","90","OpportunityScore","0068a00001M5NgzAAF"
"66Z8a0000009DiZEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-05 00:51:58","0058a00000LLuwkAAD","2023-04-05 00:51:58","34","OpportunityScore","0068a00001M8OYMAA3"
"66Z8a0000009DiaEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-10 22:34:17","0058a00000LLuwkAAD","2023-03-10 22:34:17","55","OpportunityScore","0068a00001M8Wb2AAF"
"66Z8a0000009DibEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-29 03:40:43","0058a00000LLuwkAAD","2023-08-29 03:40:43","3","OpportunityScore","0068a00001JNDutAAH"
"66Z8a0000009DicEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","99","OpportunityScore","0068a00001JMm7RAAT"
"66Z8a0000009DidEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","15","OpportunityScore","0068a00001JMnS1AAL"
"66Z8a0000009DieEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-20 22:15:06","0058a00000LLuwkAAD","2023-03-20 22:15:06","64","OpportunityScore","0068a00001M5NjKAAV"
"66Z8a0000009DifEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-06-12 18:11:15","0058a00000LLuwkAAD","2023-06-12 18:11:15","29","OpportunityScore","0068a00001M8kB0AAJ"
"66Z8a0000009DihEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-18 11:30:46","0058a00000LLuwkAAD","2023-04-18 11:30:46","69","OpportunityScore","0068a00001JNDUDAA5"
"66Z8a0000009DiiEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","99","OpportunityScore","0068a00001JNDUCAA5"
"66Z8a0000009DijEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-05 00:51:58","0058a00000LLuwkAAD","2023-04-05 00:51:58","8","OpportunityScore","0068a00001JNDdYAAX"
"66Z8a0000009DikEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-25 06:48:30","0058a00000LLuwkAAD","2023-08-25 06:48:30","2","OpportunityScore","0068a00001JNDlcAAH"
"66Z8a0000009DilEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","10","OpportunityScore","0068a00001MEVzNAAX"
"66Z8a0000009DimEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-05 00:51:58","0058a00000LLuwkAAD","2023-04-05 00:51:58","54","OpportunityScore","0068a00001M8wXgAAJ"
"66Z8a0000009DinEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-29 03:40:43","0058a00000LLuwkAAD","2023-08-29 03:40:43","2","OpportunityScore","0068a00001JMmWlAAL"
"66Z8a0000009DioEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-07-28 01:52:34","0058a00000LLuwkAAD","2023-07-28 01:52:34","37","OpportunityScore","0068a00001MEf5XAAT"
"66Z8a0000009DipEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-03 01:13:46","0058a00000LLuwkAAD","2023-08-03 01:13:46","2","OpportunityScore","0068a00001M8WFaAAN"
"66Z8a0000009DiqEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-07-13 00:51:05","0058a00000LLuwkAAD","2023-07-13 00:51:05","2","OpportunityScore","0068a00001JNDyCAAX"
"66Z8a0000009DirEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-07-08 21:27:46","0058a00000LLuwkAAD","2023-07-08 21:27:46","1","OpportunityScore","0068a00001LnIwrAAF"
"66Z8a0000009DitEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-29 03:40:43","0058a00000LLuwkAAD","2023-08-29 03:40:43","12","OpportunityScore","0068a00001JNDOAAA5"
"66Z8a0000009DiuEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-10 22:34:17","0058a00000LLuwkAAD","2023-03-10 22:34:17","72","OpportunityScore","0068a00001JMv49AAD"
"66Z8a0000009DivEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-25 04:59:10","0058a00000LLuwkAAD","2023-03-25 04:59:10","5","OpportunityScore","0068a00001MEVwYAAX"
"66Z8a0000009DiwEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-27 18:39:54","0058a00000LLuwkAAD","2023-03-27 18:39:54","6","OpportunityScore","0068a00001LnIxGAAV"
"66Z8a0000009DixEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-15 01:03:10","0058a00000LLuwkAAD","2023-05-15 01:03:10","12","OpportunityScore","0068a00001LnIxHAAV"
"66Z8a0000009DiyEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-06-12 18:11:15","0058a00000LLuwkAAD","2023-06-12 18:11:15","6","OpportunityScore","0068a00001JMnTiAAL"
"66Z8a0000009DizEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-22 05:49:20","0058a00000LLuwkAAD","2023-05-22 05:49:20","20","OpportunityScore","0068a00001JMv4AAAT"
"66Z8a0000009Dj0EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-05 00:51:58","0058a00000LLuwkAAD","2023-04-05 00:51:58","8","OpportunityScore","0068a00001JNDh1AAH"
"66Z8a0000009Dj1EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-03 01:13:46","0058a00000LLuwkAAD","2023-08-03 01:13:46","7","OpportunityScore","0068a00001M6NmWAAV"
"66Z8a0000009Dj2EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-02-17 13:08:49","0058a00000LLuwkAAD","2023-02-17 13:08:49","78","OpportunityScore","0068a00001LlPCQAA3"
"66Z8a0000009Dj3EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-29 03:40:43","0058a00000LLuwkAAD","2023-08-29 03:40:43","3","OpportunityScore","0068a00001M6ZtVAAV"
"66Z8a0000009Dj4EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-01 23:49:21","0058a00000LLuwkAAD","2023-04-01 23:49:21","18","OpportunityScore","0068a00001MEWiiAAH"
"66Z8a0000009Dj5EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-07-08 21:27:46","0058a00000LLuwkAAD","2023-07-08 21:27:46","1","OpportunityScore","0068a00001MEWihAAH"
"66Z8a0000009Dj6EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-09 06:48:29","0058a00000LLuwkAAD","2023-05-09 06:48:29","29","OpportunityScore","0068a00001JMUl0AAH"
"66Z8a0000009Dj8EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-10 22:34:17","0058a00000LLuwkAAD","2023-03-10 22:34:17","70","OpportunityScore","0068a00001MEf5YAAT"
"66Z8a0000009Dj9EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-26 05:30:31","0058a00000LLuwkAAD","2023-04-26 05:30:31","45","OpportunityScore","0068a00001LnIxgAAF"
"66Z8a0000009DjAEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-03 01:13:46","0058a00000LLuwkAAD","2023-08-03 01:13:46","24","OpportunityScore","0068a00001JNDniAAH"
"66Z8a0000009DjBEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-06 23:17:52","0058a00000LLuwkAAD","2023-03-06 23:17:52","97","OpportunityScore","0068a00001JMc4nAAD"
"66Z8a0000009DjDEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-05 00:51:58","0058a00000LLuwkAAD","2023-04-05 00:51:58","6","OpportunityScore","0068a00001LnIxfAAF"
"66Z8a0000009DjEEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-05 00:51:58","0058a00000LLuwkAAD","2023-04-05 00:51:58","9","OpportunityScore","0068a00001JNDp0AAH"
"66Z8a0000009DjFEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-10 22:34:17","0058a00000LLuwkAAD","2023-03-10 22:34:17","73","OpportunityScore","0068a00001JNE7VAAX"
"66Z8a0000009DjGEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-22 05:49:20","0058a00000LLuwkAAD","2023-05-22 05:49:20","56","OpportunityScore","0068a00001M8W7IAAV"
"66Z8a0000009DjHEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-07-08 21:27:46","0058a00000LLuwkAAD","2023-07-08 21:27:46","1","OpportunityScore","0068a00001LoNoWAAV"
"66Z8a0000009DjIEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-29 03:40:43","0058a00000LLuwkAAD","2023-08-29 03:40:43","2","OpportunityScore","0068a00001JNE34AAH"
"66Z8a0000009DjJEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-02-23 01:41:22","0058a00000LLuwkAAD","2023-02-23 01:41:22","60","OpportunityScore","0068a00001LleJRAAZ"
"66Z8a0000009DjLEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-29 03:40:43","0058a00000LLuwkAAD","2023-08-29 03:40:43","76","OpportunityScore","0068a00001M7hbNAAR"
"66Z8a0000009DjMEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-28 06:16:57","0058a00000LLuwkAAD","2023-03-28 06:16:57","8","OpportunityScore","0068a00001JMv5qAAD"
"66Z8a0000009DjNEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-31 00:51:39","0058a00000LLuwkAAD","2023-08-31 00:51:39","26","OpportunityScore","0068a00001JNDZHAA5"
"66Z8a0000009DjOEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-22 05:49:20","0058a00000LLuwkAAD","2023-05-22 05:49:20","48","OpportunityScore","0068a00001M8WClAAN"
"66Z8a0000009DjPEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-03 06:48:46","0058a00000LLuwkAAD","2023-04-03 06:48:46","8","OpportunityScore","0068a00001MEWgCAAX"
"66Z8a0000009DjREAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-22 05:49:20","0058a00000LLuwkAAD","2023-05-22 05:49:20","56","OpportunityScore","0068a00001M8WCqAAN"
"66Z8a0000009DjSEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-03 01:13:46","0058a00000LLuwkAAD","2023-08-03 01:13:46","3","OpportunityScore","0068a00001JMmDZAA1"
"66Z8a0000009DjTEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-06-08 23:26:14","0058a00000LLuwkAAD","2023-06-08 23:26:14","96","OpportunityScore","0068a00001M87y1AAB"
"66Z8a0000009DjVEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-30 08:17:59","0058a00000LLuwkAAD","2023-03-30 08:17:59","67","OpportunityScore","0068a00001ME40yAAD"
"66Z8a0000009DjWEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-07-08 21:27:46","0058a00000LLuwkAAD","2023-07-08 21:27:46","1","OpportunityScore","0068a00001M5NeoAAF"
"66Z8a0000009DjXEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-02-14 00:02:28","","OpportunityScore","0068a00001MET8bAAH"
"66Z8a0000009DjYEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-30 08:17:59","0058a00000LLuwkAAD","2023-03-30 08:17:59","46","OpportunityScore","0068a00001LlX9EAAV"
"66Z8a0000009DjZEAU","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-31 07:44:04","0058a00000LLuwkAAD","2023-03-31 07:44:04","18","OpportunityScore","0068a00001MEVuwAAH"
"66Z8a0000009DjaEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-25 04:59:10","0058a00000LLuwkAAD","2023-03-25 04:59:10","4","OpportunityScore","0068a00001LleJWAAZ"
"66Z8a0000009DjbEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-07-14 18:38:00","0058a00000LLuwkAAD","2023-07-14 18:38:00","5","OpportunityScore","0068a00001JNDY9AAP"
"66Z8a0000009DjcEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-03 01:13:46","0058a00000LLuwkAAD","2023-08-03 01:13:46","9","OpportunityScore","0068a00001M8WEXAA3"
"66Z8a0000009DjdEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-22 05:49:20","0058a00000LLuwkAAD","2023-05-22 05:49:20","56","OpportunityScore","0068a00001M8W5HAAV"
"66Z8a0000009DjeEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-05 00:51:58","0058a00000LLuwkAAD","2023-04-05 00:51:58","8","OpportunityScore","0068a00001JNDQ0AAP"
"66Z8a0000009DjfEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-10 22:34:17","0058a00000LLuwkAAD","2023-03-10 22:34:17","86","OpportunityScore","0068a00001LleI5AAJ"
"66Z8a0000009DjgEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-10 22:34:17","0058a00000LLuwkAAD","2023-03-10 22:34:17","70","OpportunityScore","0068a00001LleI4AAJ"
"66Z8a0000009DjhEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-10 03:57:36","0058a00000LLuwkAAD","2023-03-10 03:57:36","67","OpportunityScore","0068a00001LleHMAAZ"
"66Z8a0000009DjiEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-27 18:39:54","0058a00000LLuwkAAD","2023-03-27 18:39:54","6","OpportunityScore","0068a00001LoN9YAAV"
"66Z8a0000009DjjEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-01 23:49:21","0058a00000LLuwkAAD","2023-04-01 23:49:21","23","OpportunityScore","0068a00001LleHLAAZ"
"66Z8a0000009DjkEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","99","OpportunityScore","0068a00001JMm78AAD"
"66Z8a0000009DjnEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","68","OpportunityScore","0068a00001MEVsHAAX"
"66Z8a0000009DjoEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-06-29 04:47:01","0058a00000LLuwkAAD","2023-06-29 04:47:01","88","OpportunityScore","0068a00001JMteUAAT"
"66Z8a0000009DjpEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-05 00:51:58","0058a00000LLuwkAAD","2023-04-05 00:51:58","84","OpportunityScore","0068a00001JMsbsAAD"
"66Z8a0000009DjqEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","97","OpportunityScore","0068a00001JNDkjAAH"
"66Z8a0000009DjrEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-10 03:41:20","0058a00000LLuwkAAD","2023-08-10 03:41:20","17","OpportunityScore","0068a00001JMuwHAAT"
"66Z8a0000009DjsEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-02-23 01:41:22","0058a00000LLuwkAAD","2023-02-23 01:41:22","60","OpportunityScore","0068a00001LleITAAZ"
"66Z8a0000009DjtEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-06-17 19:38:43","0058a00000LLuwkAAD","2023-06-17 19:38:43","18","OpportunityScore","0068a00001M5NkmAAF"
"66Z8a0000009DjvEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-03 20:26:48","0058a00000LLuwkAAD","2023-05-03 20:26:48","22","OpportunityScore","0068a00001M8WCcAAN"
"66Z8a0000009DjwEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-03-31 07:44:04","0058a00000LLuwkAAD","2023-03-31 07:44:04","69","OpportunityScore","0068a00001M8WCbAAN"
"66Z8a0000009DjxEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-05 00:51:58","0058a00000LLuwkAAD","2023-04-05 00:51:58","76","OpportunityScore","0068a00001JNDbmAAH"
"66Z8a0000009DjzEAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-29 03:40:43","0058a00000LLuwkAAD","2023-08-29 03:40:43","47","OpportunityScore","0068a00001JMmMWAA1"
"66Z8a0000009Dk0EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-06-04 08:07:37","0058a00000LLuwkAAD","2023-06-04 08:07:37","8","OpportunityScore","0068a00001JNDsJAAX"
"66Z8a0000009Dk1EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","88","OpportunityScore","0068a00001JMmF2AAL"
"66Z8a0000009Dk2EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-22 05:49:20","0058a00000LLuwkAAD","2023-05-22 05:49:20","72","OpportunityScore","0068a00001M8WCSAA3"
"66Z8a0000009Dk3EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-29 03:40:43","0058a00000LLuwkAAD","2023-08-29 03:40:43","99","OpportunityScore","0068a00001M8WCRAA3"
"66Z8a0000009Dk4EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-02-14 00:02:28","","OpportunityScore","0068a00001M8WCWAA3"
"66Z8a0000009Dk5EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-23 08:17:54","0058a00000LLuwkAAD","2023-05-23 08:17:54","16","OpportunityScore","0068a00001JMv7DAAT"
"66Z8a0000009DpJEAU","0","prevScoreValue","MXN","2023-02-15 08:07:35","0058a00000LLuwkAAD","2023-04-17 20:36:39","0058a00000LLuwkAAD","2023-04-17 20:36:39","69","OpportunityScore","0068a00001MYbz5AAD"
"66Z8a0000009E0CEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-18 11:30:46","0058a00000LLuwkAAD","2023-04-18 11:30:46","19","OpportunityScore","0068a00001MYsX1AAL"
"66Z8a0000009E0DEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","80","OpportunityScore","0068a00001MYsNpAAL"
"66Z8a0000009E0EEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","65","OpportunityScore","0068a00001MYsNqAAL"
"66Z8a0000009E0FEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-06-12 18:11:15","0058a00000LLuwkAAD","2023-06-12 18:11:15","13","OpportunityScore","0068a00001MYsDqAAL"
"66Z8a0000009E0GEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-06-12 18:11:15","0058a00000LLuwkAAD","2023-06-12 18:11:15","2","OpportunityScore","0068a00001MYsDpAAL"
"66Z8a0000009E0HEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","65","OpportunityScore","0068a00001MYsYdAAL"
"66Z8a0000009E0IEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-14 22:44:54","0058a00000LLuwkAAD","2023-04-14 22:44:54","36","OpportunityScore","0068a00001MYsNBAA1"
"66Z8a0000009E0JEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-14 22:44:54","0058a00000LLuwkAAD","2023-04-14 22:44:54","38","OpportunityScore","0068a00001MYsQoAAL"
"66Z8a0000009E0KEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","50","OpportunityScore","0068a00001MYsQuAAL"
"66Z8a0000009E0LEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","54","OpportunityScore","0068a00001MYsQtAAL"
"66Z8a0000009E0MEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-06-12 18:11:15","0058a00000LLuwkAAD","2023-06-12 18:11:15","7","OpportunityScore","0068a00001MYsGuAAL"
"66Z8a0000009E0NEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-18 11:30:46","0058a00000LLuwkAAD","2023-04-18 11:30:46","19","OpportunityScore","0068a00001MYsGtAAL"
"66Z8a0000009E0OEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","88","OpportunityScore","0068a00001MYsTeAAL"
"66Z8a0000009E0PEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","92","OpportunityScore","0068a00001MYsTdAAL"
"66Z8a0000009E0QEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","65","OpportunityScore","0068a00001MYsaQAAT"
